シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2015,Ｊ１ １ｓｔ,第２節第２日,15/03/14(土),14:06,FC東京,0-0,横浜FM,味スタ,30492,スカパー！／スカパー！プレミアムサービス／ＴＢＳ／ＴＯＫＹＯ　ＭＸ（録）
2015,Ｊ１ １ｓｔ,第４節第２日,15/04/04(土),16:03,FC東京,1-0,甲府,味スタ,20743,スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第６節第２日,15/04/18(土),16:03,FC東京,1-2,広島,味スタ,24369,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）
2015,Ｊ１ １ｓｔ,第９節第１日,15/05/02(土),16:04,FC東京,2-1,川崎Ｆ,味スタ,42604,スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第１１節第１日,15/05/10(日),16:04,FC東京,0-1,鹿島,味スタ,42070,スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第１３節第１日,15/05/23(土),19:03,FC東京,0-1,名古屋,味スタ,23460,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
2015,Ｊ１ １ｓｔ,第１４節第１日,15/05/30(土),19:04,FC東京,2-1,柏,味スタ,23439,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2015,Ｊ１ １ｓｔ,第１７節第１日,15/06/27(土),19:04,FC東京,3-2,清水,味スタ,41363,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
2015,Ｊ１ ２ｎｄ,第２節第１日,15/07/15(水),19:03,FC東京,3-1,新潟,味スタ,12727,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
2015,Ｊ１ ２ｎｄ,第３節第１日,15/07/19(日),19:03,FC東京,0-0,山形,味スタ,22175,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
