シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,コロナ禍ダミー,国立フラグ,曜日,休日フラグ,rolling_mean_3,datetime,date,year,month,hour,temperature,rain,temp_zone,rain_flag,lag1,lag2,rolling_mean_5,rolling_mean_7,rolling_mean_2,home_score,away_score,result_numeric,lag1_result_numeric
2015,Ｊ１ １ｓｔ,第２節第２日,15/03/14(土),14:06,FC東京,0-0,横浜FM,味スタ,30492,スカパー！／スカパー！プレミアムサービス／ＴＢＳ／ＴＯＫＹＯ　ＭＸ（録）,0,0,土,1,,2015-03-14 14:06:00,2015-03-14,2015,3,14,13.5,0.0,やや寒い,0,,,,,,0,0,0,
2015,Ｊ１ １ｓｔ,第４節第２日,15/04/04(土),16:03,FC東京,1-0,甲府,味スタ,20743,スカパー！／スカパー！プレミアムサービス,0,0,土,1,,2015-04-04 16:03:00,2015-04-04,2015,4,16,19.1,0.0,快適,0,30492.0,,,,25617.5,1,0,1,0.0
2015,Ｊ１ １ｓｔ,第６節第２日,15/04/18(土),16:03,FC東京,1-2,広島,味スタ,24369,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）,0,0,土,1,25201.333333333332,2015-04-18 16:03:00,2015-04-18,2015,4,16,19.7,0.0,快適,0,20743.0,30492.0,,,22556.0,1,2,0,1.0
2015,Ｊ１ １ｓｔ,第９節第１日,15/05/02(土),16:04,FC東京,2-1,川崎Ｆ,味スタ,42604,スカパー！／スカパー！プレミアムサービス,0,0,土,1,29238.666666666668,2015-05-02 16:04:00,2015-05-02,2015,5,16,27.6,0.0,暑い,0,24369.0,20743.0,,,33486.5,2,1,1,0.0
2015,Ｊ１ １ｓｔ,第１１節第１日,15/05/10(日),16:04,FC東京,0-1,鹿島,味スタ,42070,スカパー！／スカパー！プレミアムサービス,0,0,日,1,36347.666666666664,2015-05-10 16:04:00,2015-05-10,2015,5,16,27.0,0.0,暑い,0,42604.0,24369.0,32055.6,,42337.0,0,1,0,1.0
2015,Ｊ１ １ｓｔ,第１３節第１日,15/05/23(土),19:03,FC東京,0-1,名古屋,味スタ,23460,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,0,0,土,1,36044.666666666664,2015-05-23 19:03:00,2015-05-23,2015,5,19,27.1,0.0,暑い,0,42070.0,42604.0,30649.2,,32765.0,0,1,0,0.0
2015,Ｊ１ １ｓｔ,第１４節第１日,15/05/30(土),19:04,FC東京,2-1,柏,味スタ,23439,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,0,0,土,1,29656.333333333332,2015-05-30 19:04:00,2015-05-30,2015,5,19,29.6,0.0,暑い,0,23460.0,42070.0,31188.4,29596.714285714286,23449.5,2,1,1,0.0
2015,Ｊ１ １ｓｔ,第１７節第１日,15/06/27(土),19:04,FC東京,3-2,清水,味スタ,41363,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ,0,0,土,1,29420.666666666668,2015-06-27 19:04:00,2015-06-27,2015,6,19,25.5,3.0,暑い,1,23439.0,23460.0,34587.2,31149.714285714286,32401.0,3,2,1,1.0
2015,Ｊ１ ２ｎｄ,第２節第１日,15/07/15(水),19:03,FC東京,3-1,新潟,味スタ,12727,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,0,0,水,0,25843.0,2015-07-15 19:03:00,2015-07-15,2015,7,19,33.2,0.0,猛暑,0,41363.0,23439.0,28611.8,30004.571428571428,27045.0,3,1,1,1.0
2015,Ｊ１ ２ｎｄ,第３節第１日,15/07/19(日),19:03,FC東京,0-0,山形,味スタ,22175,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,0,0,日,1,25421.666666666668,2015-07-19 19:03:00,2015-07-19,2015,7,19,34.8,0.0,猛暑,0,12727.0,41363.0,24632.8,29691.14285714286,17451.0,0,0,0,1.0
2015,Ｊ１ ２ｎｄ,第５節第１日,15/07/29(水),19:03,FC東京,3-1,仙台,味スタ,16635,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,0,0,水,0,17179.0,2015-07-29 19:03:00,2015-07-29,2015,7,19,32.5,0.0,猛暑,0,22175.0,12727.0,23267.8,25981.285714285714,19405.0,3,1,1,0.0
2015,Ｊ１ ２ｎｄ,第７節第１日,15/08/16(日),18:04,FC東京,2-1,Ｇ大阪,味スタ,37978,スカパー！／スカパー！プレミアムサービス,0,0,日,1,25596.0,2015-08-16 18:04:00,2015-08-16,2015,8,18,31.9,8.0,猛暑,1,16635.0,22175.0,26175.6,25396.714285714286,27306.5,2,1,1,1.0
2015,Ｊ１ ２ｎｄ,第１０節第２日,15/09/12(土),19:04,FC東京,3-0,神戸,味スタ,22328,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,0,0,土,1,25647.0,2015-09-12 19:04:00,2015-09-12,2015,9,19,29.5,0.0,暑い,0,37978.0,16635.0,22368.6,25235.0,30153.0,3,0,1,1.0
2015,Ｊ１ ２ｎｄ,第１２節第１日,15/09/26(土),18:34,FC東京,1-0,松本,味スタ,36671,スカパー！／スカパー！プレミアムサービス,0,0,土,1,32325.666666666668,2015-09-26 18:34:00,2015-09-26,2015,9,18,24.6,5.0,快適2,1,22328.0,37978.0,27157.4,27125.285714285714,29499.5,1,0,1,1.0
